stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage2,stage2_manchuria_s_low_center_relative_position,manchuria_s,만주 남부,41~47N,120~130E,low_center,relative_position,이 영역과 가장 관련된 지상 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_high_center_relative_position,manchuria_s,만주 남부,41~47N,120~130E,high_center,relative_position,이 영역과 가장 관련된 지상 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_surface_trough_relative_position,manchuria_s,만주 남부,41~47N,120~130E,surface_trough,relative_position,이 영역과 가장 관련된 지상 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_surface_ridge_relative_position,manchuria_s,만주 남부,41~47N,120~130E,surface_ridge,relative_position,이 영역과 가장 관련된 지상 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_front_relative_position,manchuria_s,만주 남부,41~47N,120~130E,front,relative_position,이 영역과 가장 관련된 지상 전선의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_front_type,manchuria_s,만주 남부,41~47N,120~130E,front,type,이 영역과 가장 관련된 지상 전선의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|unknown
stage2,stage2_manchuria_s_tight_pressure_gradient_strength,manchuria_s,만주 남부,41~47N,120~130E,tight_pressure_gradient,strength,이 영역의 등압선 조밀대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_wet_area_coverage,manchuria_s,만주 남부,41~47N,120~130E,wet_area,coverage,이 영역의 습윤역 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_manchuria_s_wet_area_relative_position,manchuria_s,만주 남부,41~47N,120~130E,wet_area,relative_position,이 영역과 가장 관련된 습윤역의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_strong_wind_zone_strength,manchuria_s,만주 남부,41~47N,120~130E,strong_wind_zone,strength,이 영역의 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_low_center_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,low_center,relative_position,이 영역과 가장 관련된 지상 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_high_center_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,high_center,relative_position,이 영역과 가장 관련된 지상 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_surface_trough_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,surface_trough,relative_position,이 영역과 가장 관련된 지상 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_surface_ridge_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,surface_ridge,relative_position,이 영역과 가장 관련된 지상 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_front_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,front,relative_position,이 영역과 가장 관련된 지상 전선의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_front_type,liao_bohai,요동반도/발해만,38~41N,120~123E,front,type,이 영역과 가장 관련된 지상 전선의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|unknown
stage2,stage2_liao_bohai_tight_pressure_gradient_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,tight_pressure_gradient,strength,이 영역의 등압선 조밀대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_wet_area_coverage,liao_bohai,요동반도/발해만,38~41N,120~123E,wet_area,coverage,이 영역의 습윤역 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_liao_bohai_wet_area_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,wet_area,relative_position,이 영역과 가장 관련된 습윤역의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_strong_wind_zone_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,strong_wind_zone,strength,이 영역의 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_low_center_relative_position,ws_mid,서해 중부,35~38N,122~126E,low_center,relative_position,이 영역과 가장 관련된 지상 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_high_center_relative_position,ws_mid,서해 중부,35~38N,122~126E,high_center,relative_position,이 영역과 가장 관련된 지상 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_surface_trough_relative_position,ws_mid,서해 중부,35~38N,122~126E,surface_trough,relative_position,이 영역과 가장 관련된 지상 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_surface_ridge_relative_position,ws_mid,서해 중부,35~38N,122~126E,surface_ridge,relative_position,이 영역과 가장 관련된 지상 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_front_relative_position,ws_mid,서해 중부,35~38N,122~126E,front,relative_position,이 영역과 가장 관련된 지상 전선의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_front_type,ws_mid,서해 중부,35~38N,122~126E,front,type,이 영역과 가장 관련된 지상 전선의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|unknown
stage2,stage2_ws_mid_tight_pressure_gradient_strength,ws_mid,서해 중부,35~38N,122~126E,tight_pressure_gradient,strength,이 영역의 등압선 조밀대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_wet_area_coverage,ws_mid,서해 중부,35~38N,122~126E,wet_area,coverage,이 영역의 습윤역 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_ws_mid_wet_area_relative_position,ws_mid,서해 중부,35~38N,122~126E,wet_area,relative_position,이 영역과 가장 관련된 습윤역의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_strong_wind_zone_strength,ws_mid,서해 중부,35~38N,122~126E,strong_wind_zone,strength,이 영역의 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_low_center_relative_position,kp_north,한반도 북부,37~40N,124~130E,low_center,relative_position,이 영역과 가장 관련된 지상 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_high_center_relative_position,kp_north,한반도 북부,37~40N,124~130E,high_center,relative_position,이 영역과 가장 관련된 지상 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_surface_trough_relative_position,kp_north,한반도 북부,37~40N,124~130E,surface_trough,relative_position,이 영역과 가장 관련된 지상 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_surface_ridge_relative_position,kp_north,한반도 북부,37~40N,124~130E,surface_ridge,relative_position,이 영역과 가장 관련된 지상 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_front_relative_position,kp_north,한반도 북부,37~40N,124~130E,front,relative_position,이 영역과 가장 관련된 지상 전선의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_front_type,kp_north,한반도 북부,37~40N,124~130E,front,type,이 영역과 가장 관련된 지상 전선의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|unknown
stage2,stage2_kp_north_tight_pressure_gradient_strength,kp_north,한반도 북부,37~40N,124~130E,tight_pressure_gradient,strength,이 영역의 등압선 조밀대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_wet_area_coverage,kp_north,한반도 북부,37~40N,124~130E,wet_area,coverage,이 영역의 습윤역 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_kp_north_wet_area_relative_position,kp_north,한반도 북부,37~40N,124~130E,wet_area,relative_position,이 영역과 가장 관련된 습윤역의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_strong_wind_zone_strength,kp_north,한반도 북부,37~40N,124~130E,strong_wind_zone,strength,이 영역의 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_low_center_relative_position,kp_south,한반도 남부,33~37N,124~130E,low_center,relative_position,이 영역과 가장 관련된 지상 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_high_center_relative_position,kp_south,한반도 남부,33~37N,124~130E,high_center,relative_position,이 영역과 가장 관련된 지상 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_surface_trough_relative_position,kp_south,한반도 남부,33~37N,124~130E,surface_trough,relative_position,이 영역과 가장 관련된 지상 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_surface_ridge_relative_position,kp_south,한반도 남부,33~37N,124~130E,surface_ridge,relative_position,이 영역과 가장 관련된 지상 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_front_relative_position,kp_south,한반도 남부,33~37N,124~130E,front,relative_position,이 영역과 가장 관련된 지상 전선의 상대 위치는 무엇인가?,west|inside|east|unknown
