stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage1,stage1_manchuria_s_upper_dry_intrusion_presence,manchuria_s,만주 남부,41~47N,120~130E,upper_dry_intrusion,presence,이 영역 내부에 상층 건조역 침투가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_moist_plume_presence,manchuria_s,만주 남부,41~47N,120~130E,moist_plume,presence,이 영역 내부에 상층 수증기 플룸이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_band_cloud_presence,manchuria_s,만주 남부,41~47N,120~130E,band_cloud,presence,이 영역 내부에 띠형 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_comma_cloud_presence,manchuria_s,만주 남부,41~47N,120~130E,comma_cloud,presence,이 영역 내부에 콤마형 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_jet_related_cloud_band_presence,manchuria_s,만주 남부,41~47N,120~130E,jet_related_cloud_band,presence,이 영역 내부에 제트 관련 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_cyclonic_swirl_cloud_presence,manchuria_s,만주 남부,41~47N,120~130E,cyclonic_swirl_cloud,presence,이 영역 내부에 저기압성 회전 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_convective_cloud_cluster_presence,manchuria_s,만주 남부,41~47N,120~130E,convective_cloud_cluster,presence,이 영역 내부에 대류성 구름군이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_subsidence_clear_slot_presence,manchuria_s,만주 남부,41~47N,120~130E,subsidence_clear_slot,presence,이 영역 내부에 침강성 맑은 슬롯 또는 건조 슬롯이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_upper_dry_intrusion_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,upper_dry_intrusion,presence,이 영역 내부에 상층 건조역 침투가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_moist_plume_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,moist_plume,presence,이 영역 내부에 상층 수증기 플룸이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_band_cloud_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,band_cloud,presence,이 영역 내부에 띠형 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_comma_cloud_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,comma_cloud,presence,이 영역 내부에 콤마형 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_jet_related_cloud_band_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,jet_related_cloud_band,presence,이 영역 내부에 제트 관련 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_cyclonic_swirl_cloud_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,cyclonic_swirl_cloud,presence,이 영역 내부에 저기압성 회전 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_convective_cloud_cluster_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,convective_cloud_cluster,presence,이 영역 내부에 대류성 구름군이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_subsidence_clear_slot_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,subsidence_clear_slot,presence,이 영역 내부에 침강성 맑은 슬롯 또는 건조 슬롯이 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_upper_dry_intrusion_presence,ws_mid,서해 중부,35~38N,122~126E,upper_dry_intrusion,presence,이 영역 내부에 상층 건조역 침투가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_moist_plume_presence,ws_mid,서해 중부,35~38N,122~126E,moist_plume,presence,이 영역 내부에 상층 수증기 플룸이 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_band_cloud_presence,ws_mid,서해 중부,35~38N,122~126E,band_cloud,presence,이 영역 내부에 띠형 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_comma_cloud_presence,ws_mid,서해 중부,35~38N,122~126E,comma_cloud,presence,이 영역 내부에 콤마형 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_jet_related_cloud_band_presence,ws_mid,서해 중부,35~38N,122~126E,jet_related_cloud_band,presence,이 영역 내부에 제트 관련 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_cyclonic_swirl_cloud_presence,ws_mid,서해 중부,35~38N,122~126E,cyclonic_swirl_cloud,presence,이 영역 내부에 저기압성 회전 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_convective_cloud_cluster_presence,ws_mid,서해 중부,35~38N,122~126E,convective_cloud_cluster,presence,이 영역 내부에 대류성 구름군이 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_subsidence_clear_slot_presence,ws_mid,서해 중부,35~38N,122~126E,subsidence_clear_slot,presence,이 영역 내부에 침강성 맑은 슬롯 또는 건조 슬롯이 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_upper_dry_intrusion_presence,kp_north,한반도 북부,37~40N,124~130E,upper_dry_intrusion,presence,이 영역 내부에 상층 건조역 침투가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_moist_plume_presence,kp_north,한반도 북부,37~40N,124~130E,moist_plume,presence,이 영역 내부에 상층 수증기 플룸이 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_band_cloud_presence,kp_north,한반도 북부,37~40N,124~130E,band_cloud,presence,이 영역 내부에 띠형 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_comma_cloud_presence,kp_north,한반도 북부,37~40N,124~130E,comma_cloud,presence,이 영역 내부에 콤마형 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_jet_related_cloud_band_presence,kp_north,한반도 북부,37~40N,124~130E,jet_related_cloud_band,presence,이 영역 내부에 제트 관련 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_cyclonic_swirl_cloud_presence,kp_north,한반도 북부,37~40N,124~130E,cyclonic_swirl_cloud,presence,이 영역 내부에 저기압성 회전 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_convective_cloud_cluster_presence,kp_north,한반도 북부,37~40N,124~130E,convective_cloud_cluster,presence,이 영역 내부에 대류성 구름군이 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_subsidence_clear_slot_presence,kp_north,한반도 북부,37~40N,124~130E,subsidence_clear_slot,presence,이 영역 내부에 침강성 맑은 슬롯 또는 건조 슬롯이 존재하는가?,yes|no|unknown
stage1,stage1_kp_south_upper_dry_intrusion_presence,kp_south,한반도 남부,33~37N,124~130E,upper_dry_intrusion,presence,이 영역 내부에 상층 건조역 침투가 존재하는가?,yes|no|unknown
stage1,stage1_kp_south_moist_plume_presence,kp_south,한반도 남부,33~37N,124~130E,moist_plume,presence,이 영역 내부에 상층 수증기 플룸이 존재하는가?,yes|no|unknown
stage1,stage1_kp_south_band_cloud_presence,kp_south,한반도 남부,33~37N,124~130E,band_cloud,presence,이 영역 내부에 띠형 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_kp_south_comma_cloud_presence,kp_south,한반도 남부,33~37N,124~130E,comma_cloud,presence,이 영역 내부에 콤마형 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_kp_south_jet_related_cloud_band_presence,kp_south,한반도 남부,33~37N,124~130E,jet_related_cloud_band,presence,이 영역 내부에 제트 관련 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_kp_south_cyclonic_swirl_cloud_presence,kp_south,한반도 남부,33~37N,124~130E,cyclonic_swirl_cloud,presence,이 영역 내부에 저기압성 회전 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_kp_south_convective_cloud_cluster_presence,kp_south,한반도 남부,33~37N,124~130E,convective_cloud_cluster,presence,이 영역 내부에 대류성 구름군이 존재하는가?,yes|no|unknown
stage1,stage1_kp_south_subsidence_clear_slot_presence,kp_south,한반도 남부,33~37N,124~130E,subsidence_clear_slot,presence,이 영역 내부에 침강성 맑은 슬롯 또는 건조 슬롯이 존재하는가?,yes|no|unknown
stage1,stage1_ecs_north_upper_dry_intrusion_presence,ecs_north,동중국해 북부,28~34N,120~128E,upper_dry_intrusion,presence,이 영역 내부에 상층 건조역 침투가 존재하는가?,yes|no|unknown
stage1,stage1_ecs_north_moist_plume_presence,ecs_north,동중국해 북부,28~34N,120~128E,moist_plume,presence,이 영역 내부에 상층 수증기 플룸이 존재하는가?,yes|no|unknown
stage1,stage1_ecs_north_band_cloud_presence,ecs_north,동중국해 북부,28~34N,120~128E,band_cloud,presence,이 영역 내부에 띠형 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_ecs_north_comma_cloud_presence,ecs_north,동중국해 북부,28~34N,120~128E,comma_cloud,presence,이 영역 내부에 콤마형 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_ecs_north_jet_related_cloud_band_presence,ecs_north,동중국해 북부,28~34N,120~128E,jet_related_cloud_band,presence,이 영역 내부에 제트 관련 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_ecs_north_cyclonic_swirl_cloud_presence,ecs_north,동중국해 북부,28~34N,120~128E,cyclonic_swirl_cloud,presence,이 영역 내부에 저기압성 회전 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_ecs_north_convective_cloud_cluster_presence,ecs_north,동중국해 북부,28~34N,120~128E,convective_cloud_cluster,presence,이 영역 내부에 대류성 구름군이 존재하는가?,yes|no|unknown
stage1,stage1_ecs_north_subsidence_clear_slot_presence,ecs_north,동중국해 북부,28~34N,120~128E,subsidence_clear_slot,presence,이 영역 내부에 침강성 맑은 슬롯 또는 건조 슬롯이 존재하는가?,yes|no|unknown
stage1,stage1_japan_w_upper_dry_intrusion_presence,japan_w,일본 서부,31~38N,130~138E,upper_dry_intrusion,presence,이 영역 내부에 상층 건조역 침투가 존재하는가?,yes|no|unknown
stage1,stage1_japan_w_moist_plume_presence,japan_w,일본 서부,31~38N,130~138E,moist_plume,presence,이 영역 내부에 상층 수증기 플룸이 존재하는가?,yes|no|unknown
stage1,stage1_japan_w_band_cloud_presence,japan_w,일본 서부,31~38N,130~138E,band_cloud,presence,이 영역 내부에 띠형 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_japan_w_comma_cloud_presence,japan_w,일본 서부,31~38N,130~138E,comma_cloud,presence,이 영역 내부에 콤마형 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_japan_w_jet_related_cloud_band_presence,japan_w,일본 서부,31~38N,130~138E,jet_related_cloud_band,presence,이 영역 내부에 제트 관련 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_japan_w_cyclonic_swirl_cloud_presence,japan_w,일본 서부,31~38N,130~138E,cyclonic_swirl_cloud,presence,이 영역 내부에 저기압성 회전 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_japan_w_convective_cloud_cluster_presence,japan_w,일본 서부,31~38N,130~138E,convective_cloud_cluster,presence,이 영역 내부에 대류성 구름군이 존재하는가?,yes|no|unknown
stage1,stage1_japan_w_subsidence_clear_slot_presence,japan_w,일본 서부,31~38N,130~138E,subsidence_clear_slot,presence,이 영역 내부에 침강성 맑은 슬롯 또는 건조 슬롯이 존재하는가?,yes|no|unknown
stage1,stage1_japan_east_offshore_upper_dry_intrusion_presence,japan_east_offshore,일본 동부 해상,30~40N,140~150E,upper_dry_intrusion,presence,이 영역 내부에 상층 건조역 침투가 존재하는가?,yes|no|unknown
stage1,stage1_japan_east_offshore_moist_plume_presence,japan_east_offshore,일본 동부 해상,30~40N,140~150E,moist_plume,presence,이 영역 내부에 상층 수증기 플룸이 존재하는가?,yes|no|unknown
stage1,stage1_japan_east_offshore_band_cloud_presence,japan_east_offshore,일본 동부 해상,30~40N,140~150E,band_cloud,presence,이 영역 내부에 띠형 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_japan_east_offshore_comma_cloud_presence,japan_east_offshore,일본 동부 해상,30~40N,140~150E,comma_cloud,presence,이 영역 내부에 콤마형 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_japan_east_offshore_jet_related_cloud_band_presence,japan_east_offshore,일본 동부 해상,30~40N,140~150E,jet_related_cloud_band,presence,이 영역 내부에 제트 관련 구름대가 존재하는가?,yes|no|unknown
stage1,stage1_japan_east_offshore_cyclonic_swirl_cloud_presence,japan_east_offshore,일본 동부 해상,30~40N,140~150E,cyclonic_swirl_cloud,presence,이 영역 내부에 저기압성 회전 구름 구조가 존재하는가?,yes|no|unknown
stage1,stage1_japan_east_offshore_convective_cloud_cluster_presence,japan_east_offshore,일본 동부 해상,30~40N,140~150E,convective_cloud_cluster,presence,이 영역 내부에 대류성 구름군이 존재하는가?,yes|no|unknown
stage1,stage1_japan_east_offshore_subsidence_clear_slot_presence,japan_east_offshore,일본 동부 해상,30~40N,140~150E,subsidence_clear_slot,presence,이 영역 내부에 침강성 맑은 슬롯 또는 건조 슬롯이 존재하는가?,yes|no|unknown
