bundle_id,target_order,signal_key,attribute_key,target_label,question_text,allowed_answers,gate_on_stage1,gate_rule,tier
stage2_manchuria_s_bundle,1,synoptic_low_center,relative_position,synoptic_low_center.relative_position,이 영역과 가장 관련된 종관 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown,synoptic_low_center,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,2,synoptic_high_center,relative_position,synoptic_high_center.relative_position,이 영역과 가장 관련된 종관 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown,synoptic_high_center,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,3,frontal_zone,relative_position,frontal_zone.relative_position,이 영역과 가장 관련된 전선대의 상대 위치는 무엇인가?,west|inside|east|unknown,frontal_zone,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,4,frontal_zone,type,frontal_zone.type,이 영역과 가장 관련된 전선대의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|mixed|unknown,frontal_zone,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,5,surface_trough_axis,relative_position,surface_trough_axis.relative_position,이 영역과 가장 관련된 지상 기압골 축의 상대 위치는 무엇인가?,west|inside|east|unknown,surface_trough_axis,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,6,surface_ridge_axis,relative_position,surface_ridge_axis.relative_position,이 영역과 가장 관련된 지상 기압능 축의 상대 위치는 무엇인가?,west|inside|east|unknown,surface_ridge_axis,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,7,gale_wind_area,strength,gale_wind_area.strength,이 영역의 강풍 또는 강풍대 강도는 어느 수준인가?,weak|moderate|strong|unknown,gale_wind_area,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,8,tight_pressure_gradient_zone,strength,tight_pressure_gradient_zone.strength,이 영역의 등압선 조밀대 강도는 어느 수준인가?,weak|moderate|strong|unknown,tight_pressure_gradient_zone,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,9,movement_signal,direction,movement_signal.direction,이 영역과 가장 관련된 기압계 또는 전선 이동 방향은 무엇인가?,eastward|westward|northward|southward|northeastward|southeastward|southwestward|northwestward|unknown,movement_signal,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_manchuria_s_bundle,10,movement_signal,speed_class,movement_signal.speed_class,이 영역과 가장 관련된 기압계 또는 전선 이동 속도 등급은 무엇인가?,slow|moderate|fast|unknown,movement_signal,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_liao_bohai_bundle,1,synoptic_low_center,relative_position,synoptic_low_center.relative_position,이 영역과 가장 관련된 종관 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown,synoptic_low_center,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,2,synoptic_high_center,relative_position,synoptic_high_center.relative_position,이 영역과 가장 관련된 종관 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown,synoptic_high_center,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,3,frontal_zone,relative_position,frontal_zone.relative_position,이 영역과 가장 관련된 전선대의 상대 위치는 무엇인가?,west|inside|east|unknown,frontal_zone,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,4,frontal_zone,type,frontal_zone.type,이 영역과 가장 관련된 전선대의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|mixed|unknown,frontal_zone,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,5,surface_trough_axis,relative_position,surface_trough_axis.relative_position,이 영역과 가장 관련된 지상 기압골 축의 상대 위치는 무엇인가?,west|inside|east|unknown,surface_trough_axis,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,6,surface_ridge_axis,relative_position,surface_ridge_axis.relative_position,이 영역과 가장 관련된 지상 기압능 축의 상대 위치는 무엇인가?,west|inside|east|unknown,surface_ridge_axis,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,7,gale_wind_area,strength,gale_wind_area.strength,이 영역의 강풍 또는 강풍대 강도는 어느 수준인가?,weak|moderate|strong|unknown,gale_wind_area,full_if_yes_core_if_unknown_skip_if_no,core
