stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage2,stage2_manchuria_s_upper_dry_intrusion_relative_position,manchuria_s,만주 남부,41~47N,120~130E,upper_dry_intrusion,relative_position,이 영역과 가장 관련된 상층 건조역 침투의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_upper_dry_intrusion_strength,manchuria_s,만주 남부,41~47N,120~130E,upper_dry_intrusion,strength,이 영역의 상층 건조역 침투 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_moist_plume_relative_position,manchuria_s,만주 남부,41~47N,120~130E,moist_plume,relative_position,이 영역과 가장 관련된 상층 수증기 플룸의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_moist_plume_orientation,manchuria_s,만주 남부,41~47N,120~130E,moist_plume,orientation,이 영역과 가장 관련된 상층 수증기 플룸의 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_manchuria_s_band_cloud_orientation,manchuria_s,만주 남부,41~47N,120~130E,band_cloud,orientation,이 영역과 가장 관련된 띠형 구름대의 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_manchuria_s_band_cloud_continuity,manchuria_s,만주 남부,41~47N,120~130E,band_cloud,continuity,이 영역의 띠형 구름대 연속성은 어느 수준인가?,fragmented|partial|continuous|unknown
stage2,stage2_manchuria_s_comma_cloud_stage,manchuria_s,만주 남부,41~47N,120~130E,comma_cloud,stage,이 영역과 가장 관련된 콤마형 구름 구조의 발달 단계는 무엇인가?,developing|mature|weakening|unknown
stage2,stage2_manchuria_s_cyclonic_swirl_cloud_strength,manchuria_s,만주 남부,41~47N,120~130E,cyclonic_swirl_cloud,strength,이 영역의 저기압성 회전 구름 구조 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_convective_cloud_cluster_coverage,manchuria_s,만주 남부,41~47N,120~130E,convective_cloud_cluster,coverage,이 영역의 대류성 구름군 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_manchuria_s_subsidence_clear_slot_relative_position,manchuria_s,만주 남부,41~47N,120~130E,subsidence_clear_slot,relative_position,이 영역과 가장 관련된 침강성 맑은 슬롯 또는 건조 슬롯의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_upper_dry_intrusion_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,upper_dry_intrusion,relative_position,이 영역과 가장 관련된 상층 건조역 침투의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_upper_dry_intrusion_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,upper_dry_intrusion,strength,이 영역의 상층 건조역 침투 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_moist_plume_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,moist_plume,relative_position,이 영역과 가장 관련된 상층 수증기 플룸의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_moist_plume_orientation,liao_bohai,요동반도/발해만,38~41N,120~123E,moist_plume,orientation,이 영역과 가장 관련된 상층 수증기 플룸의 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
