bundle_id,target_order,signal_key,attribute_key,target_label,question_text,allowed_answers,gate_on_stage1,gate_rule,tier
stage2_west_sea_bundle,1,precip_echo,coverage,precip_echo.coverage,What is the precipitation echo coverage in this region?,isolated|scattered|widespread|unknown,precip_echo,full_if_yes_core_if_unknown_skip_if_no,core
stage2_west_sea_bundle,2,precip_echo,intensity,precip_echo.intensity,What is the dominant precipitation echo intensity in this region?,weak|moderate|strong|unknown,precip_echo,full_if_yes_core_if_unknown_skip_if_no,core
stage2_west_sea_bundle,3,convective_core,coverage,convective_core.coverage,How widespread are convective cores in this region?,isolated|clustered|widespread|unknown,convective_core,full_if_yes_core_if_unknown_skip_if_no,core
stage2_west_sea_bundle,4,convective_core,intensity,convective_core.intensity,How strong are the convective cores in this region?,weak|moderate|strong|unknown,convective_core,full_if_yes_core_if_unknown_skip_if_no,core
stage2_west_sea_bundle,5,rain_band,orientation,rain_band.orientation,What is the dominant orientation of the radar rain band in this region?,W-E|NW-SE|SW-NE|curved|unknown,rain_band,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_west_sea_bundle,6,rain_band,continuity,rain_band.continuity,How continuous is the rain band in this region?,fragmented|partial|continuous|unknown,rain_band,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_west_sea_bundle,7,stratiform_area,coverage,stratiform_area.coverage,How large is the stratiform precipitation area in this region?,local|regional|broad|unknown,stratiform_area,full_if_yes_core_if_unknown_skip_if_no,core
stage2_west_sea_bundle,8,localized_maxima,distribution,localized_maxima.distribution,How are localized reflectivity maxima distributed in this region?,isolated|multiple|clustered|unknown,localized_maxima,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_central_korea_bundle,1,precip_echo,coverage,precip_echo.coverage,What is the precipitation echo coverage in this region?,isolated|scattered|widespread|unknown,precip_echo,full_if_yes_core_if_unknown_skip_if_no,core
stage2_central_korea_bundle,2,precip_echo,intensity,precip_echo.intensity,What is the dominant precipitation echo intensity in this region?,weak|moderate|strong|unknown,precip_echo,full_if_yes_core_if_unknown_skip_if_no,core
stage2_central_korea_bundle,3,convective_core,coverage,convective_core.coverage,How widespread are convective cores in this region?,isolated|clustered|widespread|unknown,convective_core,full_if_yes_core_if_unknown_skip_if_no,core
