stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage1,stage1_manchuria_s_low_center_presence,manchuria_s,만주 남부,41~47N,120~130E,low_center,presence,이 영역 내부에 지상 저기압 중심이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_high_center_presence,manchuria_s,만주 남부,41~47N,120~130E,high_center,presence,이 영역 내부에 지상 고기압 중심이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_surface_trough_presence,manchuria_s,만주 남부,41~47N,120~130E,surface_trough,presence,이 영역 내부에 지상 기압골이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_surface_ridge_presence,manchuria_s,만주 남부,41~47N,120~130E,surface_ridge,presence,이 영역 내부에 지상 기압능이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_front_presence,manchuria_s,만주 남부,41~47N,120~130E,front,presence,이 영역 내부에 지상 전선이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_tight_pressure_gradient_presence,manchuria_s,만주 남부,41~47N,120~130E,tight_pressure_gradient,presence,이 영역 내부에 등압선 조밀대가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_wet_area_presence,manchuria_s,만주 남부,41~47N,120~130E,wet_area,presence,이 영역 내부에 습윤역이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_strong_wind_zone_presence,manchuria_s,만주 남부,41~47N,120~130E,strong_wind_zone,presence,이 영역 내부에 강풍역(10m/s 이상)이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_low_center_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,low_center,presence,이 영역 내부에 지상 저기압 중심이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_high_center_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,high_center,presence,이 영역 내부에 지상 고기압 중심이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_surface_trough_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,surface_trough,presence,이 영역 내부에 지상 기압골이 존재하는가?,yes|no|unknown
