stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage2,stage2_manchuria_s_synoptic_low_center_relative_position,manchuria_s,만주 남부,41~47N,120~130E,synoptic_low_center,relative_position,이 영역과 가장 관련된 종관 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_synoptic_high_center_relative_position,manchuria_s,만주 남부,41~47N,120~130E,synoptic_high_center,relative_position,이 영역과 가장 관련된 종관 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_frontal_zone_relative_position,manchuria_s,만주 남부,41~47N,120~130E,frontal_zone,relative_position,이 영역과 가장 관련된 전선대의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_frontal_zone_type,manchuria_s,만주 남부,41~47N,120~130E,frontal_zone,type,이 영역과 가장 관련된 전선대의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|mixed|unknown
stage2,stage2_manchuria_s_surface_trough_axis_relative_position,manchuria_s,만주 남부,41~47N,120~130E,surface_trough_axis,relative_position,이 영역과 가장 관련된 지상 기압골 축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_surface_ridge_axis_relative_position,manchuria_s,만주 남부,41~47N,120~130E,surface_ridge_axis,relative_position,이 영역과 가장 관련된 지상 기압능 축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_gale_wind_area_strength,manchuria_s,만주 남부,41~47N,120~130E,gale_wind_area,strength,이 영역의 강풍 또는 강풍대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_tight_pressure_gradient_zone_strength,manchuria_s,만주 남부,41~47N,120~130E,tight_pressure_gradient_zone,strength,이 영역의 등압선 조밀대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_movement_signal_direction,manchuria_s,만주 남부,41~47N,120~130E,movement_signal,direction,이 영역과 가장 관련된 기압계 또는 전선 이동 방향은 무엇인가?,eastward|westward|northward|southward|northeastward|southeastward|southwestward|northwestward|unknown
stage2,stage2_manchuria_s_movement_signal_speed_class,manchuria_s,만주 남부,41~47N,120~130E,movement_signal,speed_class,이 영역과 가장 관련된 기압계 또는 전선 이동 속도 등급은 무엇인가?,slow|moderate|fast|unknown
stage2,stage2_liao_bohai_synoptic_low_center_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,synoptic_low_center,relative_position,이 영역과 가장 관련된 종관 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_synoptic_high_center_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,synoptic_high_center,relative_position,이 영역과 가장 관련된 종관 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_frontal_zone_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,frontal_zone,relative_position,이 영역과 가장 관련된 전선대의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_frontal_zone_type,liao_bohai,요동반도/발해만,38~41N,120~123E,frontal_zone,type,이 영역과 가장 관련된 전선대의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|mixed|unknown
stage2,stage2_liao_bohai_surface_trough_axis_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,surface_trough_axis,relative_position,이 영역과 가장 관련된 지상 기압골 축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_surface_ridge_axis_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,surface_ridge_axis,relative_position,이 영역과 가장 관련된 지상 기압능 축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_gale_wind_area_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,gale_wind_area,strength,이 영역의 강풍 또는 강풍대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_tight_pressure_gradient_zone_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,tight_pressure_gradient_zone,strength,이 영역의 등압선 조밀대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_movement_signal_direction,liao_bohai,요동반도/발해만,38~41N,120~123E,movement_signal,direction,이 영역과 가장 관련된 기압계 또는 전선 이동 방향은 무엇인가?,eastward|westward|northward|southward|northeastward|southeastward|southwestward|northwestward|unknown
stage2,stage2_liao_bohai_movement_signal_speed_class,liao_bohai,요동반도/발해만,38~41N,120~123E,movement_signal,speed_class,이 영역과 가장 관련된 기압계 또는 전선 이동 속도 등급은 무엇인가?,slow|moderate|fast|unknown
stage2,stage2_ws_mid_synoptic_low_center_relative_position,ws_mid,서해 중부,35~38N,122~126E,synoptic_low_center,relative_position,이 영역과 가장 관련된 종관 저기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_synoptic_high_center_relative_position,ws_mid,서해 중부,35~38N,122~126E,synoptic_high_center,relative_position,이 영역과 가장 관련된 종관 고기압 중심의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_frontal_zone_relative_position,ws_mid,서해 중부,35~38N,122~126E,frontal_zone,relative_position,이 영역과 가장 관련된 전선대의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_frontal_zone_type,ws_mid,서해 중부,35~38N,122~126E,frontal_zone,type,이 영역과 가장 관련된 전선대의 유형은 무엇인가?,cold_front|warm_front|stationary_front|occluded_front|mixed|unknown
stage2,stage2_ws_mid_surface_trough_axis_relative_position,ws_mid,서해 중부,35~38N,122~126E,surface_trough_axis,relative_position,이 영역과 가장 관련된 지상 기압골 축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_surface_ridge_axis_relative_position,ws_mid,서해 중부,35~38N,122~126E,surface_ridge_axis,relative_position,이 영역과 가장 관련된 지상 기압능 축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_gale_wind_area_strength,ws_mid,서해 중부,35~38N,122~126E,gale_wind_area,strength,이 영역의 강풍 또는 강풍대 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_tight_pressure_gradient_zone_strength,ws_mid,서해 중부,35~38N,122~126E,tight_pressure_gradient_zone,strength,이 영역의 등압선 조밀대 강도는 어느 수준인가?,weak|moderate|strong|unknown
