stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage2,stage2_manchuria_s_jet_axis_relative_position,manchuria_s,만주 남부,41~47N,120~130E,jet_axis,relative_position,이 영역과 가장 관련된 제트축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_jet_core_strength,manchuria_s,만주 남부,41~47N,120~130E,jet_core,strength,이 영역과 가장 관련된 제트코어 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_jet_axis_orientation,manchuria_s,만주 남부,41~47N,120~130E,jet_axis,orientation,이 영역과 가장 관련된 제트축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_manchuria_s_flow_regime_type,manchuria_s,만주 남부,41~47N,120~130E,flow_regime,type,이 영역과 가장 관련된 흐름 유형은 무엇인가?,confluent|diffluent|neutral|unknown
stage2,stage2_manchuria_s_upper_trough_relative_position,manchuria_s,만주 남부,41~47N,120~130E,upper_trough,relative_position,이 영역과 가장 관련된 상층 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_jet_axis_relative_position,kp_north,한반도 북부,37~40N,124~130E,jet_axis,relative_position,이 영역과 가장 관련된 제트축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_jet_core_strength,kp_north,한반도 북부,37~40N,124~130E,jet_core,strength,이 영역과 가장 관련된 제트코어 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_jet_axis_orientation,kp_north,한반도 북부,37~40N,124~130E,jet_axis,orientation,이 영역과 가장 관련된 제트축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_kp_north_flow_regime_type,kp_north,한반도 북부,37~40N,124~130E,flow_regime,type,이 영역과 가장 관련된 흐름 유형은 무엇인가?,confluent|diffluent|neutral|unknown
stage2,stage2_kp_north_upper_trough_relative_position,kp_north,한반도 북부,37~40N,124~130E,upper_trough,relative_position,이 영역과 가장 관련된 상층 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_influencing_jet_type_jet_type,kp_north,한반도 북부,37~40N,124~130E,influencing_jet_type,jet_type,이 영역에 영향을 주는 제트 종류는 무엇인가?,polar_jet|subtropical_jet|mixed|unknown
stage2,stage2_kp_south_jet_axis_relative_position,kp_south,한반도 남부,33~37N,124~130E,jet_axis,relative_position,이 영역과 가장 관련된 제트축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_jet_core_strength,kp_south,한반도 남부,33~37N,124~130E,jet_core,strength,이 영역과 가장 관련된 제트코어 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_jet_axis_orientation,kp_south,한반도 남부,33~37N,124~130E,jet_axis,orientation,이 영역과 가장 관련된 제트축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_kp_south_flow_regime_type,kp_south,한반도 남부,33~37N,124~130E,flow_regime,type,이 영역과 가장 관련된 흐름 유형은 무엇인가?,confluent|diffluent|neutral|unknown
stage2,stage2_kp_south_upper_trough_relative_position,kp_south,한반도 남부,33~37N,124~130E,upper_trough,relative_position,이 영역과 가장 관련된 상층 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_influencing_jet_type_jet_type,kp_south,한반도 남부,33~37N,124~130E,influencing_jet_type,jet_type,이 영역에 영향을 주는 제트 종류는 무엇인가?,polar_jet|subtropical_jet|mixed|unknown
stage2,stage2_ecs_north_jet_core_strength,ecs_north,동중국해 북부,28~34N,120~128E,jet_core,strength,이 영역과 가장 관련된 제트코어 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ecs_north_upper_ridge_relative_position,ecs_north,동중국해 북부,28~34N,120~128E,upper_ridge,relative_position,이 영역과 가장 관련된 상층 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ecs_north_subtropical_jet_axis_strength,ecs_north,동중국해 북부,28~34N,120~128E,subtropical_jet_axis,strength,이 영역과 가장 관련된 아열대제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_jet_axis_relative_position,japan_w,일본 서부,31~38N,130~138E,jet_axis,relative_position,이 영역과 가장 관련된 제트축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_japan_w_jet_core_strength,japan_w,일본 서부,31~38N,130~138E,jet_core,strength,이 영역과 가장 관련된 제트코어 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_jet_axis_orientation,japan_w,일본 서부,31~38N,130~138E,jet_axis,orientation,이 영역과 가장 관련된 제트축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_japan_w_flow_regime_type,japan_w,일본 서부,31~38N,130~138E,flow_regime,type,이 영역과 가장 관련된 흐름 유형은 무엇인가?,confluent|diffluent|neutral|unknown
stage2,stage2_japan_w_diffluent_flow_strength,japan_w,일본 서부,31~38N,130~138E,diffluent_flow,strength,이 영역과 가장 관련된 분류형 흐름 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_jet_axis_relative_position,japan_east_offshore,일본 동부 해상,30~40N,140~150E,jet_axis,relative_position,이 영역과 가장 관련된 제트축의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_japan_east_offshore_jet_core_strength,japan_east_offshore,일본 동부 해상,30~40N,140~150E,jet_core,strength,이 영역과 가장 관련된 제트코어 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_jet_axis_orientation,japan_east_offshore,일본 동부 해상,30~40N,140~150E,jet_axis,orientation,이 영역과 가장 관련된 제트축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_japan_east_offshore_upper_trough_relative_position,japan_east_offshore,일본 동부 해상,30~40N,140~150E,upper_trough,relative_position,이 영역과 가장 관련된 상층 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_tibet_n_polar_jet_axis_strength,tibet_n,티베트고원 북쪽,35~45N,90~105E,polar_jet_axis,strength,이 영역과 가장 관련된 한대제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
