bundle_id,target_order,signal_key,attribute_key,target_label,question_text,allowed_answers,gate_on_stage1,gate_rule,tier
stage2_manchuria_s_bundle,1,upper_dry_intrusion,relative_position,upper_dry_intrusion.relative_position,이 영역과 가장 관련된 상층 건조역 침투의 상대 위치는 무엇인가?,west|inside|east|unknown,upper_dry_intrusion,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,2,upper_dry_intrusion,strength,upper_dry_intrusion.strength,이 영역의 상층 건조역 침투 강도는 어느 수준인가?,weak|moderate|strong|unknown,upper_dry_intrusion,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,3,moist_plume,relative_position,moist_plume.relative_position,이 영역과 가장 관련된 상층 수증기 플룸의 상대 위치는 무엇인가?,west|inside|east|unknown,moist_plume,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,4,moist_plume,orientation,moist_plume.orientation,이 영역과 가장 관련된 상층 수증기 플룸의 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown,moist_plume,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_manchuria_s_bundle,5,band_cloud,orientation,band_cloud.orientation,이 영역과 가장 관련된 띠형 구름대의 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown,band_cloud,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_manchuria_s_bundle,6,band_cloud,continuity,band_cloud.continuity,이 영역의 띠형 구름대 연속성은 어느 수준인가?,fragmented|partial|continuous|unknown,band_cloud,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_manchuria_s_bundle,7,comma_cloud,stage,comma_cloud.stage,이 영역과 가장 관련된 콤마형 구름 구조의 발달 단계는 무엇인가?,developing|mature|weakening|unknown,comma_cloud,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_manchuria_s_bundle,8,cyclonic_swirl_cloud,strength,cyclonic_swirl_cloud.strength,이 영역의 저기압성 회전 구름 구조 강도는 어느 수준인가?,weak|moderate|strong|unknown,cyclonic_swirl_cloud,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,9,convective_cloud_cluster,coverage,convective_cloud_cluster.coverage,이 영역의 대류성 구름군 범위는 어느 수준인가?,local|regional|broad|unknown,convective_cloud_cluster,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,10,subsidence_clear_slot,relative_position,subsidence_clear_slot.relative_position,이 영역과 가장 관련된 침강성 맑은 슬롯 또는 건조 슬롯의 상대 위치는 무엇인가?,west|inside|east|unknown,subsidence_clear_slot,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,1,upper_dry_intrusion,relative_position,upper_dry_intrusion.relative_position,이 영역과 가장 관련된 상층 건조역 침투의 상대 위치는 무엇인가?,west|inside|east|unknown,upper_dry_intrusion,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,2,upper_dry_intrusion,strength,upper_dry_intrusion.strength,이 영역의 상층 건조역 침투 강도는 어느 수준인가?,weak|moderate|strong|unknown,upper_dry_intrusion,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,3,moist_plume,relative_position,moist_plume.relative_position,이 영역과 가장 관련된 상층 수증기 플룸의 상대 위치는 무엇인가?,west|inside|east|unknown,moist_plume,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,4,moist_plume,orientation,moist_plume.orientation,이 영역과 가장 관련된 상층 수증기 플룸의 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown,moist_plume,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_liao_bohai_bundle,5,band_cloud,orientation,band_cloud.orientation,이 영역과 가장 관련된 띠형 구름대의 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown,band_cloud,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_liao_bohai_bundle,6,band_cloud,continuity,band_cloud.continuity,이 영역의 띠형 구름대 연속성은 어느 수준인가?,fragmented|partial|continuous|unknown,band_cloud,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_liao_bohai_bundle,7,comma_cloud,stage,comma_cloud.stage,이 영역과 가장 관련된 콤마형 구름 구조의 발달 단계는 무엇인가?,developing|mature|weakening|unknown,comma_cloud,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_liao_bohai_bundle,8,cyclonic_swirl_cloud,strength,cyclonic_swirl_cloud.strength,이 영역의 저기압성 회전 구름 구조 강도는 어느 수준인가?,weak|moderate|strong|unknown,cyclonic_swirl_cloud,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,9,convective_cloud_cluster,coverage,convective_cloud_cluster.coverage,이 영역의 대류성 구름군 범위는 어느 수준인가?,local|regional|broad|unknown,convective_cloud_cluster,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,10,subsidence_clear_slot,relative_position,subsidence_clear_slot.relative_position,이 영역과 가장 관련된 침강성 맑은 슬롯 또는 건조 슬롯의 상대 위치는 무엇인가?,west|inside|east|unknown,subsidence_clear_slot,full_if_yes_core_if_unknown_skip_if_no,core
stage2_ws_mid_bundle,1,upper_dry_intrusion,relative_position,upper_dry_intrusion.relative_position,이 영역과 가장 관련된 상층 건조역 침투의 상대 위치는 무엇인가?,west|inside|east|unknown,upper_dry_intrusion,full_if_yes_core_if_unknown_skip_if_no,core
